alpha3,region,subRegion,country,year,cgdpo,ctfp,rtfpna,rgdpna,rgdpo,pop,rgdpnaPerCapita,rgdpoPerCapita,growth_rgdpnaPerCapita,growth_rgdpoPerCapita,growth_rtfpna,numComplete,numObs,noIncomplete,isLAC,growth_rgdpnaPerCapita_demeaned,growth_rgdpoPerCapita_demeaned,growth_rtfpna_demeaned
PRT,Europe,Southern Europe,Portugal,1995,175334.921875,0.789013981819153,1.04490315914154,205522.046875,173643.546875,10.1497354507446,20249.005294017,17108.1845155147,0.0130734730129307,0.0390189502942655,-0.00443503895861574,12,12,1,0,-0.0154933863505566,0.00409395969595283,-0.00949783115970596
PRT,Europe,Southern Europe,Portugal,2000,230814.59375,0.829646170139313,1.02848279476166,250976.375,229486.96875,10.3551168441772,24236.9428348002,22161.6976614843,0.0366086510105017,0.0531247514167914,-0.00316288928365038,12,12,1,0,0.0080417916470144,0.0181997608184787,-0.0082256814847406
PRT,Europe,Southern Europe,Portugal,2005,251242.984375,0.810128390789032,1.02788031101227,262032.984375,251294.375,10.5657234191895,24800.2880615913,23783.9251540126,0.00460602244446595,0.0142291786848614,-0.000117187176245648,12,12,1,0,-0.0239608369190213,-0.0206958119134513,-0.00517997937733586
PRT,Europe,Southern Europe,Portugal,2010,276951.3125,0.702050447463989,1.00372099876404,270172.9375,274704.96875,10.6523208618164,25362.8238394925,25788.2739652247,0.00449591744974187,0.0163136279724263,-0.00474563139942708,12,12,1,0,-0.0240709419137454,-0.0186113626258864,-0.00980842360051729
PRT,Europe,Southern Europe,Portugal,2015,279182.8125,0.664186954498291,0.984591484069824,258550.59375,275554.28125,10.4184732437134,24816.553030552,26448.6239782084,-0.00434524838707018,0.00506965589799302,-0.00384111473259863,12,12,1,0,-0.0329121077505575,-0.0298553347003196,-0.00890390693368884
SWE,Europe,Northern Europe,Sweden,1960,87331.7421875,0.702520132064819,0.615095376968384,108460.8984375,88147.9140625,7.49166107177734,14477.5500918074,11766.137471778,,,,12,12,1,0,,,
SWE,Europe,Northern Europe,Sweden,1965,116198.1484375,0.803584396839142,0.69735985994339,139409.90625,113840.34375,7.7455005645752,17998.8246192383,14697.6096381246,0.0445032936630396,0.0454964393024353,0.0254226274938902,12,12,1,0,0.0238536477443892,0.0219498515329293,0.0159623303134593
SWE,Europe,Northern Europe,Sweden,1970,146116.5625,0.878101170063019,0.778858184814453,170080.078125,139256.015625,8.05491638183594,21115.0643982519,17288.3254181293,0.0324514844119039,0.0330021942559227,0.0223516175968721,12,12,1,0,0.0118018384932535,0.00945560648641661,0.0128913204164411
SWE,Europe,Northern Europe,Sweden,1975,163702.625,0.885725975036621,0.817149341106415,193234.234375,157015.390625,8.19734001159668,23572.7972856602,19154.4318526342,0.0222655894820358,0.0207121142845594,0.00964479182092792,12,12,1,0,0.00161594356338539,-0.00283447348494661,0.000184494640496947
SWE,Europe,Northern Europe,Sweden,1980,166102.296875,0.833656370639801,0.813147604465485,206487.3125,164282.046875,8.31633758544922,24829.1162279515,19754.1339786925,0.0104388316060584,0.00618478078828311,-0.000981362514683726,12,12,1,0,-0.010210814312592,-0.0173618069812229,-0.0104416596951147
SWE,Europe,Northern Europe,Sweden,1985,188631.234375,0.789364397525787,0.819961845874786,227878.671875,186308.234375,8.35765171051025,27265.8732103455,22291.9356810127,0.0189001586811983,0.0244669616584101,0.00167042588519517,12,12,1,0,-0.00174948723745212,0.000920373888904071,-0.0077898712952358
SWE,Europe,Northern Europe,Sweden,1990,223002.875,0.736530363559723,0.804440498352051,256556.1875,226961.3125,8.56738376617432,29945.6863964625,26491.3208856229,0.0189267694460549,0.035121111939219,-0.00381486625578609,12,12,1,0,-0.00172287647259557,0.0115745241697129,-0.0132751634362171
SWE,Europe,Northern Europe,Sweden,1995,241165.40625,0.733593106269836,0.844539403915405,265807.8125,246614.953125,8.8364200592041,30080.9389683928,27908.9214266272,0.000901691667661186,0.0104803858201639,0.00977635777678021,12,12,1,0,-0.0197479542509893,-0.0130662019493422,0.000316060596349234
SWE,Europe,Northern Europe,Sweden,2000,317131.125,0.875030040740967,0.925890803337097,316823.78125,309906.53125,8.88164043426514,35671.7639714058,34892.9382520811,0.0346813938247241,0.0456802314722817,0.0185631747651298,12,12,1,0,0.0140317479060737,0.0221336437027757,0.00910287758469883
SWE,Europe,Northern Europe,Sweden,2005,341677.09375,0.929071724414825,1.00265836715698,360612.46875,340276.96875,9.03862285614014,39896.83765874,37646.9927073948,0.0226400038911372,0.0153097333366155,0.0160583339772622,12,12,1,0,0.00199035797248674,-0.00823685443289059,0.00659803679683122
SWE,Europe,Northern Europe,Sweden,2010,383802.5625,0.831198036670685,0.993707120418549,390134.34375,379568.5,9.39016819000244,41547.1092589555,40421.906436577,0.00813912044696985,0.0143253990904488,-0.00179191323450445,12,12,1,0,-0.0125105254716806,-0.00922118867905721,-0.0112522104149354
